participant,state,file,window_id,window_start_sec,window_end_sec,duration_file_sec,n_peaks_total,synthetic,HR_mean,HR_min,HR_max,RR_mean,RR_median,SDNN,RMSSD,pNN50,NN_count,ECG_mean,ECG_std,ECG_rms,ECG_ptp,ECG_energy,ECG_skew,ECG_kurtosis,HR_mean_delta_basal,HR_mean_ratio_basal,RR_mean_delta_basal,RR_mean_ratio_basal,SDNN_delta_basal,SDNN_ratio_basal,RMSSD_delta_basal,RMSSD_ratio_basal,pNN50_delta_basal,pNN50_ratio_basal
P01,basal,P01_basal_ECGv2.txt,1,0.0,30.0,302.7,363,False,78.81277868794164,70.25761124121786,132.74336283185838,768.4736842105262,772.5,62.235271498501405,57.915362290062504,8.108108108108109,38,0.0010929475647873275,1.0777657575825703,1.0777663117540421,8.978856405120698,1.1615802227519112,1.8094714875113098,8.171182045676533,6.544004196346094,1.0905509224749221,-68.09889745862961,0.9185977416056876,10.560255770430047,1.2043590238269326,25.93056369950275,1.8107152410569218,-1.5460900863003122,0.8398530820305941
P01,basal,P01_basal_ECGv2.txt,2,15.0,45.0,302.7,363,False,77.94085463666015,70.25761124121786,86.58008658008596,771.657894736842,768.9999999999984,38.340773805292436,25.668889572629666,5.405405405405405,38,0.0001731821683218551,1.0647912822513625,1.0647912963349035,9.093754285106098,1.1337805047505645,1.908419770293478,8.751273873135046,5.672080145064598,1.078485904665842,-64.91468693231388,0.9224039989419758,-13.334241922778922,0.7419595962399412,-6.315909017930089,0.8025340381604211,-4.248792789003016,0.5599020546870627
P01,basal,P01_basal_ECGv2.txt,3,30.0,60.0,302.7,363,False,80.10849784893311,71.59904534606258,95.38950715421338,752.2564102564104,753.9999999999977,49.11625197251174,21.302952599901595,0.0,39,1.529137105341351e-05,1.0579351430022395,1.0579351431127502,8.985186345289756,1.119226767032995,1.851201639470661,8.370166646294361,7.8397233573375615,1.1084800927162433,-84.31617141274546,0.899212365716654,-2.5587637555596174,0.9504835418140062,-10.68184599065816,0.6660336640728173,-9.654198194408421,0.0
P01,basal,P01_basal_ECGv2.txt,4,45.0,75.0,302.7,363,False,76.59266086379704,64.23982869378935,95.38950715421338,792.1081081081081,783.9999999999989,83.49277539729756,27.263121203886264,11.11111111111111,37,-0.00024100814309253735,1.014978929769417,1.014978958383274,8.465312700034824,1.030182285960796,1.9836355783361754,9.41482336714738,4.3238863722014855,1.059830630899993,-44.464473561047726,0.9468492339632614,31.817759669226206,1.615728108079547,-4.721677386673491,0.8523774544552836,1.4569129167026897,1.1509097790789622
P01,basal,P01_basal_ECGv2.txt,5,60.0,90.0,302.7,363,False,67.87379771452412,61.72839506172786,80.86253369272188,887.030303030303,890.0000000000006,51.45840847743252,28.817312504811586,15.625,33,-0.0008809165738004249,0.9650179516023761,0.9650183536746106,8.422561222494236,0.9312604229288559,2.1424589421155065,11.145596585950257,-4.3949767770714345,0.9391856744771209,50.45772136114715,1.0603148160324265,-0.21660725063883746,0.995808278960597,-3.1674860857481697,0.9009690157410263,5.970801805591579,1.6184668768297905
P01,basal,P01_basal_ECGv2.txt,6,75.0,105.0,302.7,363,False,66.65399435833501,61.224489795919006,73.52941176470694,901.6875,898.0000000000032,37.61557458836608,29.04557042459714,9.67741935483871,32,6.855362777246057e-05,0.9627565129573897,0.9627565153980898,8.390050731222937,0.9269001079414723,2.1581970607600156,11.4934764032412,-5.614780133260538,0.9223069690504645,65.11491833084415,1.0778353483698029,-14.059441139705278,0.7279257501596118,-2.9392281659626143,0.9081054658624576,0.02322116043028899,1.0024052914558703
P01,basal,P01_basal_ECGv2.txt,7,90.0,120.0,302.7,363,False,68.41714969266062,61.224489795919006,79.05138339920946,880.2121212121212,887.0000000000005,53.525553229133884,32.84385406739003,9.375,33,-0.00023047287367881992,0.9754820929622371,0.975482120188644,8.390050731222937,0.9515653668077321,2.1511713448708956,11.189433077514234,-3.8516247989349353,0.9467041633675017,43.639539542965395,1.052164678234965,1.8505375010625258,1.0358110679791677,0.859055476830278,1.0268582424991048,-0.279198194408421,0.9710801260978743
P01,basal,P01_basal_ECGv2.txt,8,105.0,135.0,302.7,363,False,69.59181694687084,61.287027579161574,79.05138339920946,865.2647058823533,862.49999999999,52.42154820851515,35.62430222602296,12.121212121212121,34,-0.0006323979430291728,0.9879437260785167,0.9879439284823109,8.435190538355348,0.9760332058250616,2.1367688661815634,10.907144866304112,-2.676957544724715,0.9629583099539618,28.692124213197417,1.0342972323524517,0.7465324804437898,1.014446681242871,3.639503635463207,1.113788543178052,2.4670139268037,1.2555379408134133
P01,basal,P01_basal_ECGv2.txt,9,120.0,150.0,302.7,363,False,68.94938363239254,61.287027579161574,77.51937984496115,872.8529411764712,862.49999999999,48.92302695914243,38.36191292983775,21.21212121212121,34,3.843754213723134e-05,1.001942594234106,1.0019425949713963,8.560214647208612,1.0038889636180155,2.1190792080994565,10.806166171970427,-3.3193908592030112,0.9540688093501705,36.280359507315325,1.0433678563011564,-2.751988768928925,0.9467443070862199,6.377114339277995,1.1993795371642637,11.55792301771279,2.1971913964234733
P01,basal,P01_basal_ECGv2.txt,10,135.0,165.0,302.7,363,False,70.72537653292463,62.24066390041503,76.62835249042273,850.7941176470586,847.4999999999966,46.99760110690764,31.484002671871576,12.121212121212121,34,6.400309914930803e-05,1.010565812422495,1.0105658144492788,8.509424185819459,1.0212432653335342,2.1106400344181098,10.639447526177047,-1.5433979586709228,0.978643640084828,14.221535977902704,1.016999763427015,-4.67741462116372,0.9094840213348437,-0.5007959186881799,0.9843426896289418,2.4670139268037,1.2555379408134133
