channel,metric,condition_a,condition_b,n_pairs,mean_a,std_a,mean_b,std_b,mean_diff_a_minus_b,t_stat,p_value,interpretation,test_type,analysis
Fp1,alpha_abs,basal_ojos_cerrados,ojos_abiertos,30,2727.9420812387684,1071.5782026122263,2894.7630176269286,1818.9937999531887,-166.82093638816033,-0.41098356366580824,0.6841058080274325,No se encontró diferencia significativa al 5%.,alpha_abs,alfa_ojos_cerrados_vs_abiertos
Fp2,alpha_abs,basal_ojos_cerrados,ojos_abiertos,30,2383.1483742312007,896.9883678582681,3238.087424597658,1713.9952106360283,-854.9390503664567,-2.688212159780972,0.011777020927873635,Diferencia significativa: ojos abiertos > ojos cerrados/basal.,alpha_abs,alfa_ojos_cerrados_vs_abiertos
Fp1,alpha_rel,basal_ojos_cerrados,ojos_abiertos,30,0.14796564873707976,0.07794532317357025,0.0961356750200419,0.046416435067563565,0.051829973717037826,3.344863331589896,0.00228566176035291,Diferencia significativa: ojos cerrados/basal > ojos abiertos.,alpha_rel,alfa_ojos_cerrados_vs_abiertos
Fp2,alpha_rel,basal_ojos_cerrados,ojos_abiertos,30,0.12153844370435692,0.05679511515214681,0.1133460685240164,0.05252579029146199,0.00819237518034051,0.6741587220104301,0.5055491786417594,No se encontró diferencia significativa al 5%.,alpha_rel,alfa_ojos_cerrados_vs_abiertos
Fp1,beta_abs,musica_relajante,musica_estresante,33,6544.874214572534,2433.129731104304,11067.407814865373,13726.810495456131,-4522.53360029284,-1.9547946139956978,0.0593905541901954,No se encontró diferencia significativa al 5%.,beta_abs,beta_relajante_vs_estresante
Fp2,beta_abs,musica_relajante,musica_estresante,33,3742.8749736022496,1128.338407026338,11542.928020919644,20932.235773515313,-7800.053047317394,-2.14504678139778,0.03964115602099971,Diferencia significativa: musica_estresante > musica_relajante.,beta_abs,beta_relajante_vs_estresante
Fp1,beta_rel,musica_relajante,musica_estresante,33,0.20801311041940795,0.11423167697773934,0.08781860782896125,0.07827791829415837,0.12019450259044669,5.201650234976871,1.1052752944789186e-05,Diferencia significativa: musica_relajante > musica_estresante.,beta_rel,beta_relajante_vs_estresante
Fp2,beta_rel,musica_relajante,musica_estresante,33,0.1666372037997786,0.09660482551926755,0.06928903773628395,0.06814219204094836,0.09734816606349467,4.475407429617699,9.06083998928928e-05,Diferencia significativa: musica_relajante > musica_estresante.,beta_rel,beta_relajante_vs_estresante
