condition,channel,theta_4_8,alpha_8_13,beta_13_30,gamma_baja_30_45,rel_theta_4_8,rel_alpha_8_13,rel_beta_13_30,rel_gamma_baja_30_45
basal,Fp1,267.46743392896917,270.1171649560211,397.63506185015876,213.7089773365214,0.12213428226851711,0.13810626714651053,0.19659381115782443,0.11046932664438422
basal,Fp2,298.979956801944,237.17659324066665,374.9600222076212,171.81501673991434,0.13275704157631088,0.11149092668152666,0.1812711332832232,0.0836042120524773
musica_estres,Fp1,1846.1151430243629,597.7994877028799,776.2725595388187,401.30852175259344,0.11556899902117698,0.06540634164635378,0.10346454758012905,0.06299494800775726
musica_estres,Fp2,2041.090722189471,823.4440575327034,722.9359703136437,310.7648797990902,0.11314334042113991,0.06928586937560882,0.06775916800691109,0.03889274772797019
musica_relax,Fp1,360.7312580128658,296.6555118253276,619.4106290126755,299.3737199977026,0.09087442584185718,0.0798814324353151,0.17038297136336752,0.0859553239047627
musica_relax,Fp2,311.44888650310554,238.11953043728045,366.28258599751615,147.08872508737412,0.1132333460391448,0.09345475946548291,0.14409165599452733,0.057403722784361504
punto_fijo,Fp1,285.24160976494403,275.25510439653124,1053.0385892025427,618.7576488923451,0.0943986090801567,0.09383782156244613,0.3574097949349687,0.20262705567143233
punto_fijo,Fp2,241.5723911854879,318.43543371415376,1291.0251289256062,581.2558205551123,0.0861120059933385,0.11124864606021138,0.43267634333879684,0.1959922479227952
