condition,channel,delta_pct_vs_basal_theta_4_8,delta_pct_vs_basal_alpha_8_13,delta_pct_vs_basal_beta_13_30,delta_pct_vs_basal_gamma_baja_30_45,delta_pct_vs_basal_rel_theta_4_8,delta_pct_vs_basal_rel_alpha_8_13,delta_pct_vs_basal_rel_beta_13_30,delta_pct_vs_basal_rel_gamma_baja_30_45
basal,Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musica_estres,Fp1,590.2205311150636,121.31118094631643,95.22236191318115,87.78271589436525,-5.375463076702811,-52.64056947034328,-47.37141165798537,-42.97516793005667
musica_relax,Fp1,34.869226026471885,9.824753963202348,55.77364484173396,40.084765613887804,-25.594661749379988,-42.15944425565235,-13.33248470035254,-22.19077773374634
punto_fijo,Fp1,6.645360736027069,1.902115121542412,164.82538644928655,189.53282945994596,-22.7091629583432,-32.0539005931585,81.80114258431162,83.42381711415365
basal,Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musica_estres,Fp2,582.6848006876826,247.18605503248054,92.80347970358898,80.87178041574313,-14.774132446975853,-37.85514979750451,-62.61998985737997,-53.47991832808889
musica_relax,Fp2,4.1704901674801675,0.39756756083303096,-2.3142297034802852,-14.391228497780114,-14.706335201017229,-16.177251147587977,-20.510423593262136,-31.338719216287906
punto_fijo,Fp2,-19.201141852624296,34.26090212495486,244.3100737312058,238.30327033346023,-35.13563953303378,-0.2173097206442171,138.69015187474497,134.42867663147567
